GRUPO ECONÔMICO;VARIÁVEL;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11
ALGAR;Indicador de Desempenho no Atendimento (IDA);87.102;95.013;92.03;86.703;89.209;88.288;91.803;85.883;88.4;88.735;81.596
NET;Indicador de Desempenho no Atendimento (IDA);78.19;80.442;77.001;79.846;87.456;91.046;88.378;87.229;90.268;88.322;89.895
OI;Indicador de Desempenho no Atendimento (IDA);9.3;26.978;8.545;29.129;23.172;30.531;22.974;16.488;36.834;27.564;39.049
SERCOMTEL;Indicador de Desempenho no Atendimento (IDA);86.874;83.415;74.282;81.25;79.547;83.59;82.044;79.708;83.784;84.848;71.504
SKY;Indicador de Desempenho no Atendimento (IDA);18.247;36.214;12.54;37.63;20.467;45.734;41.645;27.553;48.104;40.978;49.611
TIM;Indicador de Desempenho no Atendimento (IDA);0.0;0.0;0.0;18.372;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VIVO;Indicador de Desempenho no Atendimento (IDA);59.665;68.482;61.315;72.533;66.122;70.237;69.063;64.357;72.067;71.399;73.365
ALGAR;Índice de Reclamações;0.702;0.599;0.719;0.681;0.832;0.668;0.728;0.724;0.615;0.851;0.676
NET;Índice de Reclamações;0.863;0.717;0.863;0.765;0.902;0.758;0.865;0.911;0.789;0.867;0.804
OI;Índice de Reclamações;3.744;3.008;3.468;2.822;3.101;2.812;2.928;3.207;2.623;3.008;2.548
SERCOMTEL;Índice de Reclamações;0.232;0.22;0.172;0.19;0.184;0.234;1.118;0.401;0.212;0.378;0.248
SKY;Índice de Reclamações;3.182;2.951;3.698;2.895;3.581;2.571;2.734;3.298;2.476;2.761;2.416
TIM;Índice de Reclamações;5.927;4.429;4.307;3.464;4.71;7.001;5.224;5.794;6.701;6.244;7.652
VIVO;Índice de Reclamações;2.013;1.661;1.947;1.499;1.755;1.591;1.637;1.826;1.517;1.544;1.465
ALGAR;Quantidade de acessos em serviço;498849.0;502101.0;507795.0;512345.0;517063.0;522534.0;527573.0;531470.0;531464.0;533731.0;538468.0
NET;Quantidade de acessos em serviço;8528998.0;8545483.0;8577280.0;8580309.0;8585618.0;8600888.0;8642978.0;8711912.0;8763821.0;8818985.0;8868550.0
OI;Quantidade de acessos em serviço;6420116.0;6429832.0;6416887.0;6425464.0;6415983.0;6425322.0;6431502.0;6386326.0;6374138.0;6346608.0;6327202.0
SERCOMTEL;Quantidade de acessos em serviço;167817.0;167812.0;168165.0;168144.0;168144.0;170806.0;170806.0;174750.0;174750.0;174750.0;213569.0
SKY;Quantidade de acessos em serviço;309837.0;314084.0;330993.0;342684.0;348753.0;358278.0;367200.0;365688.0;365126.0;361840.0;365963.0
TIM;Quantidade de acessos em serviço;331703.0;335514.0;341995.0;345222.0;355441.0;366970.0;378446.0;388340.0;395179.0;403298.0;410727.0
VIVO;Quantidade de acessos em serviço;7473425.0;7481705.0;7492005.0;7529321.0;7557394.0;7580456.0;7592142.0;7611849.0;7610764.0;7602113.0;7599972.0
ALGAR;Quantidade de reabertas;30.0;15.0;25.0;35.0;25.0;28.0;19.0;37.0;16.0;29.0;35.0
NET;Quantidade de reabertas;584.0;572.0;742.0;614.0;581.0;426.0;526.0;473.0;528.0;575.0;545.0
OI;Quantidade de reabertas;2722.0;2410.0;3434.0;2986.0;2941.0;2621.0;2609.0;2695.0;2025.0;2207.0;1868.0
SERCOMTEL;Quantidade de reabertas;4.0;4.0;5.0;5.0;5.0;4.0;9.0;7.0;2.0;5.0;9.0
SKY;Quantidade de reabertas;110.0;68.0;75.0;48.0;70.0;50.0;66.0;69.0;38.0;40.0;32.0
TIM;Quantidade de reabertas;175.0;105.0;124.0;96.0;170.0;249.0;212.0;223.0;356.0;275.0;454.0
VIVO;Quantidade de reabertas;1105.0;782.0;935.0;644.0;802.0;627.0;711.0;809.0;651.0;762.0;630.0
ALGAR;Quantidade de reclamações;350.0;301.0;365.0;349.0;430.0;349.0;384.0;385.0;327.0;454.0;364.0
NET;Quantidade de reclamações;7361.0;6130.0;7405.0;6564.0;7742.0;6521.0;7475.0;7935.0;6917.0;7647.0;7132.0
OI;Quantidade de reclamações;24034.0;19342.0;22255.0;18130.0;19895.0;18069.0;18833.0;20478.0;16721.0;19089.0;16123.0
SERCOMTEL;Quantidade de reclamações;39.0;37.0;29.0;32.0;31.0;40.0;191.0;70.0;37.0;66.0;53.0
SKY;Quantidade de reclamações;986.0;927.0;1224.0;992.0;1249.0;921.0;1004.0;1206.0;904.0;999.0;884.0
TIM;Quantidade de reclamações;1966.0;1486.0;1473.0;1196.0;1674.0;2569.0;1977.0;2250.0;2648.0;2518.0;3143.0
VIVO;Quantidade de reclamações;15047.0;12425.0;14590.0;11284.0;13264.0;12057.0;12432.0;13897.0;11548.0;11738.0;11137.0
ALGAR;Quantidade de Reclamações no Período;984.0;1064.0;1035.0;1016.0;1015.0;1144.0;1128.0;1163.0;1118.0;1096.0;1166.0
NET;Quantidade de Reclamações no Período;18708.0;20029.0;19785.0;20908.0;20118.0;21728.0;20817.0;21723.0;21929.0;22329.0;22504.0
OI;Quantidade de Reclamações no Período;61214.0;65618.0;64734.0;65629.0;59724.0;60276.0;56092.0;56797.0;57384.0;56036.0;56293.0
SERCOMTEL;Quantidade de Reclamações no Período;80.0;93.0;104.0;105.0;98.0;92.0;103.0;261.0;300.0;297.0;173.0
SKY;Quantidade de Reclamações no Período;2645.0;2724.0;2728.0;3137.0;3143.0;3465.0;3162.0;3174.0;3131.0;3114.0;3109.0
TIM;Quantidade de Reclamações no Período;4943.0;5137.0;4905.0;4926.0;4156.0;4345.0;5440.0;6221.0;6796.0;6876.0;7417.0
VIVO;Quantidade de Reclamações no Período;39207.0;41865.0;40625.0;42064.0;38302.0;39127.0;36596.0;37756.0;38391.0;37880.0;37184.0
ALGAR;Quantidade de Respondidas;350.0;301.0;365.0;349.0;430.0;349.0;384.0;385.0;280.0;454.0;364.0
NET;Quantidade de Respondidas;7276.0;6123.0;7401.0;6533.0;7741.0;6521.0;7471.0;7934.0;6916.0;7642.0;7022.0
OI;Quantidade de Respondidas;23923.0;19267.0;22150.0;18064.0;19751.0;17874.0;18737.0;20392.0;16686.0;19045.0;16113.0
SERCOMTEL;Quantidade de Respondidas;35.0;33.0;29.0;30.0;29.0;39.0;185.0;63.0;36.0;64.0;48.0
SKY;Quantidade de Respondidas;979.0;926.0;1224.0;992.0;1249.0;921.0;1004.0;1206.0;901.0;997.0;883.0
TIM;Quantidade de Respondidas;1965.0;1485.0;1473.0;1196.0;1672.0;2567.0;1977.0;2247.0;2646.0;2518.0;3142.0
VIVO;Quantidade de Respondidas;15019.0;12419.0;14578.0;11269.0;13255.0;12051.0;12425.0;13893.0;11542.0;11719.0;11120.0
ALGAR;Quantidade de Sol. Respondidas em até 5 dias;313.0;272.0;330.0;303.0;375.0;313.0;351.0;328.0;266.0;402.0;304.0
NET;Quantidade de Sol. Respondidas em até 5 dias;6209.0;5066.0;6261.0;5549.0;6658.0;5658.0;6421.0;6842.0;5935.0;6635.0;6157.0
OI;Quantidade de Sol. Respondidas em até 5 dias;20651.0;16510.0;18876.0;15524.0;17093.0;15798.0;15942.0;17352.0;14368.0;16496.0;13917.0
SERCOMTEL;Quantidade de Sol. Respondidas em até 5 dias;32.0;27.0;16.0;24.0;22.0;28.0;168.0;42.0;19.0;36.0;30.0
SKY;Quantidade de Sol. Respondidas em até 5 dias;833.0;792.0;1040.0;864.0;1083.0;793.0;859.0;1045.0;787.0;875.0;785.0
TIM;Quantidade de Sol. Respondidas em até 5 dias;1694.0;1302.0;1270.0;1030.0;1433.0;2257.0;1680.0;1932.0;2233.0;2172.0;2576.0
VIVO;Quantidade de Sol. Respondidas em até 5 dias;12895.0;10773.0;12660.0;9885.0;11519.0;10504.0;10775.0;12040.0;9839.0;10066.0;9658.0
ALGAR;Quantidade de Sol. Respondidas no Período;984.0;1064.0;1035.0;1016.0;1015.0;1144.0;1128.0;1163.0;1114.0;1096.0;1166.0
NET;Quantidade de Sol. Respondidas no Período;18670.0;19952.0;19785.0;20894.0;20118.0;21728.0;20817.0;21723.0;21929.0;22328.0;22503.0
OI;Quantidade de Sol. Respondidas no Período;61054.0;65486.0;64588.0;65509.0;59559.0;60080.0;55961.0;56697.0;57265.0;55893.0;56244.0
SERCOMTEL;Quantidade de Sol. Respondidas no Período;80.0;93.0;104.0;105.0;98.0;92.0;103.0;261.0;299.0;297.0;171.0
SKY;Quantidade de Sol. Respondidas no Período;2645.0;2724.0;2728.0;3137.0;3143.0;3465.0;3162.0;3174.0;3131.0;3113.0;3106.0
TIM;Quantidade de Sol. Respondidas no Período;4943.0;5137.0;4905.0;4926.0;4156.0;4345.0;5440.0;6221.0;6795.0;6876.0;7417.0
VIVO;Quantidade de Sol. Respondidas no Período;39184.0;41833.0;40577.0;41982.0;38273.0;39088.0;36588.0;37748.0;38388.0;37875.0;37164.0
ALGAR;Taxa de Reabertas;8.571;4.983;6.849;10.029;5.814;8.023;4.948;9.61;5.714;6.388;9.615
NET;Taxa de Reabertas;8.026;9.342;10.026;9.398;7.505;6.533;7.041;5.962;7.634;7.524;7.761
OI;Taxa de Reabertas;11.378;12.508;15.503;16.53;14.89;14.664;13.924;13.216;12.136;11.588;11.593
SERCOMTEL;Taxa de Reabertas;11.429;12.121;17.241;16.667;17.241;10.256;4.865;11.111;5.556;7.813;18.75
SKY;Taxa de Reabertas;11.236;7.343;6.127;4.839;5.604;5.429;6.574;5.721;4.218;4.012;3.624
TIM;Taxa de Reabertas;8.906;7.071;8.418;8.027;10.167;9.7;10.723;9.924;13.454;10.921;14.449
VIVO;Taxa de Reabertas;7.357;6.297;6.414;5.715;6.051;5.203;5.722;5.823;5.64;6.502;5.665
ALGAR;Taxa de Respondidas em 5 dias Úteis;89.429;90.365;90.411;86.819;87.209;89.685;91.406;85.195;81.346;88.546;83.516
NET;Taxa de Respondidas em 5 dias Úteis;84.35;82.643;84.551;84.537;85.998;86.766;85.9;86.226;85.803;86.766;86.329
OI;Taxa de Respondidas em 5 dias Úteis;85.924;85.358;84.817;85.626;85.916;87.432;84.649;84.735;85.928;86.416;86.318
SERCOMTEL;Taxa de Respondidas em 5 dias Úteis;82.051;72.973;55.172;75.0;70.968;70.0;87.958;60.0;51.351;54.545;56.604
SKY;Taxa de Respondidas em 5 dias Úteis;84.483;85.437;84.967;87.097;86.709;86.102;85.558;86.65;87.058;87.588;88.801
TIM;Taxa de Respondidas em 5 dias Úteis;86.165;87.618;86.219;86.12;85.603;87.855;84.977;85.867;84.328;86.259;81.96
VIVO;Taxa de Respondidas em 5 dias Úteis;85.698;86.704;86.772;87.602;86.844;87.12;86.671;86.637;85.201;85.756;86.72
ALGAR;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.642;100.0;100.0
NET;Taxa de Respondidas no Período;99.797;99.616;100.0;99.933;100.0;100.0;100.0;100.0;100.0;99.996;99.996
OI;Taxa de Respondidas no Período;99.739;99.799;99.774;99.817;99.724;99.675;99.766;99.824;99.793;99.745;99.913
SERCOMTEL;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.667;100.0;98.844
SKY;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.968;99.904
TIM;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.985;100.0;100.0
VIVO;Taxa de Respondidas no Período;99.941;99.924;99.882;99.805;99.924;99.9;99.978;99.979;99.992;99.987;99.946
